location,name,country,province,kg_n_per_year,capacity,country_code,name_en,kg_p_per_year
"46.372931, 15.104184",Ob Jezeru City Stadium,Slovenia,Vzhodna Slovenija,88.0,2341.0,SI,Ob Jezeru City Stadium,4.50643
"51.910833, -2.080556",Prince of Wales Stadium,,,18.0,480.0,,Prince of Wales Stadium,0.924
"14.7105, -17.458",Stade de DUC Dakar,,,,,,Stade de DUC Dakar,0
"48.119722222, 17.133333333",Stadium FC Petržalka 1898,Slovakia,Bratislavský kraj,57.0,1500.0,SK,Stadium FC Petržalka 1898,2.8875
"48.119765, 17.133374",Stadium FC Petržalka 1898,Slovakia,Bratislavský kraj,57.0,1500.0,SK,Stadium FC Petržalka 1898,2.8875
"46.251731, 14.364914",Stanko Mlakar Stadium,Slovenia,Zahodna Slovenija,77.0,2029.0,SI,Stanko Mlakar Stadium,3.90583
"41.426696, 2.213064",Ciutat Esportiva Dani Jarque,Spain,Cataluña,,,ES,Ciutat Esportiva Dani Jarque,0
"46.4078, 15.7897",Kidričevo Sports Park,Slovenia,Vzhodna Slovenija,23.0,600.0,SI,Kidričevo Sports Park,1.155
"-34.817777777, -56.171666666",Estadio Parque Doctor Carlos Suero,,,,,,Estadio Parque Doctor Carlos Suero,0
"49.0265, 104.0489",Erdenet Stadium,,,113.0,3000.0,,Erdenet Stadium,5.775
"49.0265, 104.049",Erdenet Stadium,,,113.0,3000.0,,Erdenet Stadium,5.775
"51.431363888, -0.186669444",Plough Lane,,,,,,Plough Lane,0
"45.765224, 4.982131",Parc Olympique Lyonnais,France,Rhône-Alpes,2241.0,59286.0,FR,Parc Olympique Lyonnais,228.251
"51.649928, -0.401606",Vicarage Road,,,832.0,22000.0,,Vicarage Road,64.372
"52.338611, 6.649722",Asito Stadion,Netherlands,Overijssel,457.0,12080.0,NL,Asito Stadion,27.9048
"41.636592, -0.901822",La Romareda,Spain,Aragón,1270.0,33608.0,ES,La Romareda,98.337
"43.368667, -8.417372",Estadio Municipal de Abanca Riazor,,,1228.0,32490.0,,Estadio Municipal de Abanca Riazor,95.0657
"38.152767, 13.342275",Stadio Renzo Barbera,Italy,Sicilia,1375.0,36365.0,IT,Stadio Renzo Barbera,106.404
"45.109594, 7.641247",Juventus Stadium,Italy,Piemonte,1576.0,41689.0,IT,Juventus Stadium,160.503
"40.827967, 14.193008",Stadio Diego Armando Maradona,Italy,Campania,2069.0,54726.0,IT,Stadio Diego Armando Maradona,210.695
"45.435833, 8.595833",Stadio Silvio Piola (Novara),Italy,Piemonte,676.0,17875.0,IT,Stadio Silvio Piola (Novara),52.3023
"42.861111, 13.594167",Stadio Cino e Lillo Del Duca,Italy,Marche,777.0,20550.0,IT,Stadio Cino e Lillo Del Duca,60.1293
"45.544167, 11.555556",Stadio Romeo Menti,Italy,Veneto,460.0,12163.0,IT,Stadio Romeo Menti,28.0965
"44.140556, 12.261944",Stadio Dino Manuzzi,Italy,Emilia-Romagna,902.0,23860.0,IT,Stadio Dino Manuzzi,69.8144
"43.726389, 10.955",Stadio Carlo Castellani,Italy,Toscana,750.0,19847.0,IT,Stadio Carlo Castellani,58.0723
"44.653611, 10.923333",Stadio Alberto Braglia,Italy,Emilia-Romagna,800.0,21151.0,IT,Stadio Alberto Braglia,61.8878
"42.562222, 12.635278",Stadio Libero Liberati,Italy,Umbria,660.0,17460.0,IT,Stadio Libero Liberati,51.088
"45.570556, 10.236944",Stadio Mario Rigamonti,Italy,Lombardia,616.0,16308.0,IT,Stadio Mario Rigamonti,47.7172
"45.834633, 8.800631",Stadio Franco Ossola,Italy,Lombardia,310.0,8213.0,IT,Stadio Franco Ossola,18.972
